Neolithic Era	-10000	-2000
Writing and Civilization	-3500	-600
Ancient Greece (Greek Empire)	-1200	146
Rome foundation	-753	-753
Rome Republic	-509	-45
Alexander the great (of Macedonia)	-356	-323
Pre-Roman Europe (Greeks, Celts, Iberians, Berbers,...)	-300	-270
Julious Caesar Dictatorship	-45	-44
Roman Britain	-43	410
Roman Empire	-27	476
Western Roman Empire	395	476
Eastern Roman Empire (Bizantine Empire)	395	1453
European Tribes: Visigoths, Franks, Vandals, Goths, Angles, Saxons	418	720
Visigoths in Spain	477	711
Muslims in Spain	711	1492
Charles I (carlomagno)	742	814
House of Habsburg/Austria	1100	2000
Ramon Berenguer I (Count of Barcelona)	1023	1076
Ramon Berenguer IV de Barcelona i Petronila d Arago	1137	1137
James I of Aragon Reign	1213	1276
Alfonso X the wise of Castile Reign	1252	1284
House of Bourbon	1268	present
Renaissance (art)	1300 	1602
black death (bubonic)	1320	1352
Printing Press (difusion)	1440	1440
Colombus	1451	1506
Catholic Monarchs	1475	1516
America Discovery	1492	1492
Magellan	1480	1521
Elcano	1476	1526
Philip IV of France / Philip I of Spain	1478	1506
Charles I of Spain (V of Germany) Reign	1516	1556
First trip around the world	1519-09 	1522-09
Protestant Reformation	1517	1555
Church of England	1530	1530
Council of Trent	1545	1563
Philip II of Spain Reign	1556	1598
Philip III Reign	1598	1621
Baroque-NeoClassicism	1600	1800
30 year war	1618	1648
Philip IV Reign	1621	1665
Charles II Reign	1665	1700
glorious revolution	1688	1689
[Central] Bank of England Creation	1694	1694
Spanish succession war 	1701	1715
Almansa battle	1707	1707
Utrech Threaty 	1715	1715
Adam Smith	1723-06-16	1790-07-17
Age of Enlightment/Reason	1650	1780
Kant	1724	1804
Thomas Jefferson (US president)	1743	1826
seven years' war	1756	1763
Industrial Revolution	1760	1820
Andrew Jackson (US president)	1767-03-15	1845-06-06
Steam engine (Watt)	1778	1778
American Revolutionary War (Independence War)	1775	1783
US Independence	1776-07-04	1776-07-04
US Constitution	1787-09-17	1787-09-17
[Central] Bank of North America	1782	
French Revolution	1789	1799
Napoleon	1769	1821
Simon Bolivar	1783	1830
First [Central] Bank of the US	1791	1811
Romanticism (art)	1800	1850
Ferdinand VII of Spain Reign	1808	1833
Mexican_War_of_Independence	1810-9-16	1821-099-27
Waterloo Battle	1815-06-18	1815-06-18
Lenin	1870-04-22	1924-01-21
Darwin	1809	1882
Karl Marx	1818-05-05	1883-03-14
Friedrich_Nietzsche	1844-10-15	1900-08-25
labor movement: socialism anarchism	1830	1914
Abraham Lincoln (US president)	1809	1865
Second [Central] Bank of US	1816	1836
US Free Banking Era	1837	1862
J.P. Morgan	1837-04-17	1913-03-31
J.D. Rockefeller	1839-07-08	1937-05-23
American Civil War	1861	1865
Internal Revenue Service (IRS)	1862-07-01	1862-07-01
US National [Central] Banks	1963	1913
henry ford	1863	1947
Gandhi	1869	1948
Freud	1856	1939
Ku Klux Klan	1865	2015
Realpolitik	1853	1900
Otto von Bismark	1815	1940
germany unification	1871	1871
italia unification	1870	1931
Alfonso XIII of Spain reign	1886	1931
Keynes	1883-06-05	1946-04-21
Hayek	1899-05-08	1992-03-23
European Imperialism. Colonization of Africa and Asia	1880	1914
Berlin conference	1885	1885
Suez Canal	1865	1865
First Spanish Republic	1873	1874
International Alliance of Women	1904	1904
US Bank Panic	1907	1907
Federal Reserve (fed, American Central Bank) creation	1913-12-23	1913-12-23
WWI	1914-07-28	1918-11-11
Bolshevik revolution	1917	
John F. Kennedy (US President)	1917-05-29	1963-11-22
influenza epidemic (flu pandemic)	1918	1920
Versailles	1919	1919
League of Nations	1920-01-10	1946-04-20
Ottoman Killing of ChristiansHitler	1889	1945
Musolini	1905-02-25	1905-04-28
Stalin	1878-12-18	1953-03-05
Churchill	1874	1965
Roosvelt	1882-01-30	1945-04-45
John Von Newman	1903-12-28	1957-02-08
Alan Turing	1912-06-23	1954-06-07
Great Depression	1929-10-04	1939
Second Spanish Republic	1931	1939
Spanish Civil War	1936-07-17	1939-04-01
Franco	1892-12-04	1975-11-20
Spain Franco's Dictatorship	1939-04-01	1975-11-20
WWII	1939-09-01	1945-09-02
Bretton Woods system	1944-07-22	1971
Hiroshima - Enola Gay and Nagasaki - Attomic Bombs	1945-08-06	1945-08-06
IMF creation	1945-12-27	1945-12-27
world bank creation	1947-07	1947-07
OECD	1948-04-16	1948-04-16
NATO	1949-04-04	1949-04-04
Warsaw Pact	1955-05-14	1991-07-01
Berlin Wall	1961-08-13	1989-11-09
Gorbachev	1931-03-02	
Marshall Plan	1947	1952
Cold War	1947	1991
USSR	1922	1991
Ronald Regan	1911-02-06	2004-06-05
Margaret Thatcher	1925-10-13	2013-04-08
Vietnam War	1955	1975
European Union Formation	1958	1958
John F. Kennedy (US President) in office	1961-01-20	1963-11-22
Exhorbitant privilege (Gaulle predicting USD crisis)	1965	1965
US Black Civil Rigths	1968	1968
Richard Nixon (US President) in office	1969-01-20	1974-08-09
fiat currency (0% reserve ratio)	1971-08-15	1971-08-15
Spanish transition	1975	1977
Spanish Constitution of 1978	1978-10-31	1978-12-06
Maastricht Treaty	1992-02-07	1992-02-07
NAFTA	1994	1994
WTO Creation	1995-01-01	1995-01-01
ECB	1998	1998
NATO bombing of Yugoslavia	1999	1999
George W Bush (US presidnet) in office	2001-01-20	2009-01-20
US 9/11 attacks	2001-09-11	2001-09-11
Euro Currency	2002-01-01	2002-01-01
Iraq War	2003	
Madrid 11M	2004-03-11	2004-03-11
7_July_2005_London_bombings	2005-07-07	2005-07-07
Lisbon Treaty	2007-12-13	2007-12-13
Major Banking Failed	2008-09-14	2008-09-14